#SASDB SASDER2
#Sample description: Merged from concentrations 1.00 and 5.00 mg/ml
#Sample: Merged from con  c= 0.000 mg/ml  Code: tmp
#Parent(s): C:/Users/vives/AppData/Local/Temp/qt_temp.JF2596 C:/Users/vives/AppDa
 1.066830e+000  1.511330e+002  3.959950e+000
 1.069460e+000  1.524640e+002  4.014340e+000
 1.072090e+000  1.550960e+002  3.983380e+000
 1.074720e+000  1.467690e+002  3.948810e+000
 1.077350e+000  1.524790e+002  3.991380e+000
 1.079990e+000  1.501160e+002  3.907830e+000
 1.082620e+000  1.511200e+002  3.964560e+000
 1.085250e+000  1.473300e+002  3.891510e+000
 1.087880e+000  1.432070e+002  3.899450e+000
 1.090510e+000  1.438280e+002  3.910990e+000
 1.093140e+000  1.401970e+002  3.846900e+000
 1.095770e+000  1.441010e+002  3.877890e+000
 1.098400e+000  1.460210e+002  3.859260e+000
 1.101030e+000  1.382070e+002  3.841860e+000
 1.103670e+000  1.372170e+002  3.839990e+000
 1.106300e+000  1.442530e+002  3.810590e+000
 1.108930e+000  1.439250e+002  3.882740e+000
 1.111560e+000  1.388870e+002  3.814780e+000
 1.114190e+000  1.449690e+002  3.839780e+000
 1.116820e+000  1.406420e+002  3.799670e+000
 1.119450e+000  1.362690e+002  3.785310e+000
 1.122080e+000  1.463930e+002  3.840190e+000
 1.124710e+000  1.365750e+002  3.792490e+000
 1.127350e+000  1.360310e+002  3.798030e+000
 1.129980e+000  1.321100e+002  3.748880e+000
 1.132610e+000  1.304610e+002  3.760600e+000
 1.135240e+000  1.329210e+002  3.753460e+000
 1.137870e+000  1.290170e+002  3.716820e+000
 1.140500e+000  1.389260e+002  3.724520e+000
 1.143130e+000  1.252010e+002  3.677350e+000
 1.145760e+000  1.352080e+002  3.735540e+000
 1.148390e+000  1.340360e+002  3.727290e+000
 1.151030e+000  1.356730e+002  3.702010e+000
 1.153660e+000  1.269010e+002  3.680390e+000
 1.156290e+000  1.269620e+002  3.670990e+000
 1.158920e+000  1.275190e+002  3.693500e+000
 1.161550e+000  1.208240e+002  3.632770e+000
 1.164180e+000  1.303500e+002  3.650040e+000
 1.166810e+000  1.205130e+002  3.618430e+000
 1.169440e+000  1.279040e+002  3.653630e+000
 1.172070e+000  1.302470e+002  3.673870e+000
 1.174710e+000  1.233260e+002  3.605960e+000
 1.177340e+000  1.233500e+002  3.636100e+000
 1.179970e+000  1.323360e+002  3.661140e+000
 1.182600e+000  1.272170e+002  3.614520e+000
 1.185230e+000  1.191260e+002  3.608960e+000
 1.187860e+000  1.207880e+002  3.567900e+000
 1.190490e+000  1.210070e+002  3.602530e+000
 1.193120e+000  1.210530e+002  3.558550e+000
 1.195750e+000  1.198340e+002  3.539320e+000
 1.198390e+000  1.163030e+002  3.554890e+000
 1.201020e+000  1.255090e+002  3.553240e+000
 1.203650e+000  1.189600e+002  3.542980e+000
 1.206280e+000  1.189550e+002  3.515460e+000
 1.208910e+000  1.242450e+002  3.553380e+000
 1.211540e+000  1.131920e+002  3.504590e+000
 1.214170e+000  1.094500e+002  3.497330e+000
 1.216800e+000  1.154880e+002  3.497680e+000
 1.219430e+000  1.206820e+002  3.484380e+000
 1.222070e+000  1.193830e+002  3.527780e+000
 1.224700e+000  1.110770e+002  3.467960e+000
 1.227330e+000  1.159950e+002  3.420750e+000
 1.229960e+000  1.164540e+002  3.472390e+000
 1.232590e+000  1.148060e+002  3.438150e+000
 1.235220e+000  1.078700e+002  3.446370e+000
 1.237850e+000  1.104840e+002  3.431540e+000
 1.240480e+000  1.108970e+002  3.437350e+000
 1.243110e+000  1.065100e+002  3.408850e+000
 1.245750e+000  1.112230e+002  3.431540e+000
 1.248380e+000  1.084450e+002  3.426460e+000
 1.251010e+000  1.147430e+002  3.384050e+000
 1.253640e+000  1.118970e+002  3.420840e+000
 1.256270e+000  1.170370e+002  3.448030e+000
 1.258900e+000  1.097490e+002  3.410320e+000
 1.261530e+000  1.097530e+002  3.421510e+000
 1.264160e+000  1.114180e+002  3.381770e+000
 1.266790e+000  1.126250e+002  3.435740e+000
 1.269430e+000  1.095050e+002  3.403170e+000
 1.272060e+000  1.103560e+002  3.388670e+000
 1.274690e+000  1.096000e+002  3.389120e+000
 1.277320e+000  1.109050e+002  3.360900e+000
 1.279950e+000  1.036880e+002  3.369340e+000
 1.282580e+000  1.105240e+002  3.364910e+000
 1.285210e+000  1.060700e+002  3.357540e+000
 1.287840e+000  1.086890e+002  3.352040e+000
 1.290470e+000  1.065810e+002  3.322410e+000
 1.293110e+000  1.024230e+002  3.333600e+000
 1.295740e+000  1.015260e+002  3.280470e+000
 1.298370e+000  1.056600e+002  3.341860e+000
 1.301000e+000  9.756830e+001  3.301130e+000
 1.303630e+000  1.024850e+002  3.299340e+000
